ECOICOP,NAZEV,MĚRNÁ JEDNOTKA,,VÁHA v ‰
E04.310.09,SILIKONOVÝ TMEL, 300,ml,0.239322
E04.32,Služby pro běžnou údržbu a drobné opravy bytu, , ,5.909407
E04.321,INSTALATÉRSKÉ SLUŽBY, , ,0.702038
E04.321.01,INSTALATÉRSKÉ PRÁCE - VÝMĚNA BATERIE, 1,úkon,0.702038
E04.323,ÚDRŽBA VYTÁPĚNÍ, , ,0.859227
E04.323.01,TOPENÁŘSKÉ PRÁCE, 1,hodina,0.859227
E04.324,MALÍŘSKÉ SLUŽBY, , ,0.815499
E04.324.01,MALÍŘSKÉ PRÁCE, 1,m2,0.815499
E04.329,OSTATNÍ SLUŽBY PRO BĚŽNOU ÚDRŽBU A DROBNÉ OPRAVY BYTU, , ,3.532643
E04.329.01,NATĚRAČSKÉ PRÁCE, 1,m2,0.600396
E04.329.02,OBKLADAČSKÉ PRÁCE, 1,m2,1.201383
E04.329.03,TRUHLÁŘSKÉ PRÁCE, 1,hodina,1.730864
E04.4,Ostatní služby související s bydlením, , ,20.451848
E04.41,Dodávka vody (vodné), , ,6.947256
E04.410,VODNÉ, , ,6.947256
E04.410.01,VODNÉ, 1,m3,6.947256
E04.42,Sběr pevných odpadů, , ,3.581703
E04.420,SBĚR PEVNÝCH ODPADŮ, , ,3.581703
E04.420.01,ODVOZ POPELA A PEVNÝCH ODPADKŮ, ,ročně,3.581703
E04.43,Odvádění odpadních vod kanalizací (stočné), , ,4.714085
E04.430,STOČNÉ, , ,4.714085
E04.430.01,STOČNÉ, 1,m3,4.714085
E04.44,Ostatní služby související s bydlením jinde neuvedené, , ,5.208804
E04.441,POPLATKY ZA ÚDRŽBU DOMŮ S VÍCE UŽIVATELI, , ,5.208804
E04.441.01,ÚHRADA SLUŽEB SPOJENÝCH S UŽÍVÁNÍM NÁJEMNÍHO BYTU, ,měsíčně,3.125283
E04.441.02,ÚHRADA SLUŽEB SPOJENÝCH S UŽÍVÁNÍM DRUŽSTEVNÍHO BYTU, ,měsíčně,2.083521
E04.5,"Elektrická a tepelná energie, plyn a ostatní paliva", , ,87.780620
E04.51,Elektrická energie, , ,44.265709
E04.510,ELEKTŘINA, , ,44.265709
E04.510.01,SUBI ELEKTŘINA, , ,44.265709
E04.52,Plynná paliva, , ,19.560803
E04.521,ZEMNÍ PLYN A SVÍTIPLYN, , ,19.084379
E04.521.01,SUBI PLYN ZE SÍTĚ, , ,19.084379
E04.522,PLYN V BOMBÁCH , , ,0.476424
E04.522.01,PROPAN - BUTAN, 10,kg,0.476424
E04.53,Kapalná paliva, , ,0.038138
E04.530,KAPALNÁ PALIVA, , ,0.038138
E04.530.01,PETROLEJ, 1,l,0.038138
E04.54,Tuhá paliva, , ,9.235129
E04.541,UHLÍ, , ,3.777005
E04.541.01,ČERNÉ UHLÍ, 100,kg,0.965683
E04.541.02,HNĚDÉ UHLÍ, 100,kg,2.811322
E04.549,OSTATNÍ TUHÁ PALIVA, , ,5.458124
E04.549.01,BRIKETY HNĚDOUHELNÉ, 100,kg,0.503354
E04.549.03,DŘEVO PALIVOVÉ, 100,kg,2.477385
E04.549.04,DŘEVO PALIVOVÉ LISTNATÉ, 100,kg,2.477385
E04.55,Tepelná energie, , ,14.680841
E04.550,TEPLO A TEPLÁ VODA, , ,14.680841
E04.550.01,TEPLO PRO OTOP A PŘÍPRAVU TEPLÉ VODY, 1,GJ,14.680841
E05,"BYTOVÉ VYBAVENÍ, ZAŘÍZENÍ DOMÁCNOSTI; OPRAVY", , ,58.007477
E05.1,"Nábytek, byt.zaříz. a výzd., koberce a ost. podl.krytiny,vč.oprav", , ,21.941330
E05.11,Nábytek a bytové zařízení, , ,18.479457
E05.111,NÁBYTEK DO DOMÁCNOSTI, , ,15.739182
E05.111.01,ŽIDLE ČALOUNĚNÁ, 1,ks,0.935696
E05.111.02,STŮL JÍDELNÍ KUCHYŇSKÝ, 1,ks,0.787198
E05.111.03,KUCHYŇSKÁ SKŘÍŇKA NÁSTĚNNÁ, 1,ks,2.233856
E05.111.04,KUCHYŇSKÁ PRACOVNÍ DESKA, 1,bm,1.489770
E05.111.05,SKŘÍŇKA DVOUDVÉŘOVÁ, 1,ks,1.060243
E05.111.07,SKŘÍŇ ŠATNÍ DVOUDVEŘOVÁ, 1,ks,1.326901
E05.111.08,BOTNÍK, 1,ks,0.677022
E05.111.09,POSTEL - DVOULŮŽKO, 1,ks,1.936860
E05.111.10,KNIHOVNA, 1,ks,1.060243
E05.111.12,POHOVKA ČALOUNĚNÁ, 1,ks,2.294533
E05.111.13,MATRACE S TAŠTIČKOVÝMI PRUŽINAMI - internetový obchod, 1,ks,1.936860
E05.113,OSVĚTLOVACÍ ZAŘÍZENÍ, , ,1.879181
E05.113.01,STOLNÍ LAMPA, 1,ks,1.879181
E05.119,OSTATNÍ NÁBYTEK A BYTOVÉ ZAŘÍZENÍ, , ,0.861094
E05.119.01,DĚTSKÁ POSTÝLKA, 1,ks,0.076113
E05.119.02,ZÁCLONOVÁ TYČ, 1,ks,0.632757
E05.119.03,DĚTSKÁ POSTÝLKA - internetový obchod, 1,ks,0.152224
E05.12,Koberce a ostatní podlahové krytiny, , ,3.176292
E05.121,KOBERCE A KOBEREČKY, , ,1.782960
E05.121.01,KOBEREC BYTOVÝ, 1,m2,1.782960
E05.122,OSTATNÍ PODLAHOVÉ KRYTINY, , ,1.393332
E05.122.01,LINOLEUM, 1,m2,1.393332
E05.13,"Opravy nábytku, zařízení a podlahových krytin", , ,0.285581
E05.130,"OPRAVY NÁBYTKU, ZAŘÍZENÍ A PODLAHOVÝCH KRYTIN", , ,0.285581
E05.130.01,OPRAVA ČALOUNĚNÉHO KŘESLA, 1,oprava,0.285581
E05.2,Bytový textil, , ,6.637064
E05.20,Bytový textil, , ,6.637064
E05.201,"DEKORAČNÍ TEXTILIE, ZÁCLONY A ZÁVĚSY", , ,0.970597
E05.201.01,DEKORAČNÍ TKANINA, 1,m2,0.414152
E05.201.02,PLETENÉ SYNTETICKÉ ZÁCLONY, 1,m2,0.556445
E05.202,LOŽNÍ PRÁDLO, , ,4.892945
E05.202.01,PŘIKRÝVKA PROŠÍVANÁ, 1,ks,2.293010
E05.202.04,PROSTĚRADLO BAVLNĚNÉ, 1,ks,0.768823
E05.202.07,LOŽNÍ SOUPRAVA - internetový obchod, 1,souprava,1.831112
E05.203,STOLNÍ A KOUPELNOVÝ TEXTIL, , ,0.773522
E05.203.01,SMYČKOVÝ RUČNÍK (FROTÉ), 1,ks,0.773522
E05.3,Přístroje a spotřebiče pro domácnost včetně oprav, , ,10.583995
E05.31,Hlavní (velké) přístroje pro domácnost elektrické a neelektrické, , ,8.026537
E05.311,"LEDNIČKY, MRAZNIČKY A JEJICH KOMBINACE", , ,1.887745
E05.311.03,EL. CHLADNIČKA S MRAZNIČKOU - internetový obchod, 1,ks,1.887745
E05.312,"PRAČKY, SUŠIČKY A MYČKY NÁDOBÍ", , ,2.555231
E05.312.03,AUTOMATICKÁ BUBNOVÁ PRAČKA - internetový obchod, 1,ks,1.500691
E05.312.04,MYČKA NÁDOBÍ - internetový obchod, 1,ks,1.054540
E05.313,SPORÁKY, , ,0.865744
E05.313.01,SPORÁK KOMBINOVANÝ, 1,ks,0.238654
E05.313.03,SPORÁK KOMBINOVANÝ - internetový obchod, 1,ks,0.477309
E05.313.04,MIKROVLNNÁ TROUBA - internetový obchod, 1,ks,0.149781
E05.314,VYHŘÍVACÍ A KLIMATIZAČNÍ ZAŘÍZENÍ, , ,1.761136
E05.314.01,PLYNOVÝ KOTEL, 1,ks,1.761136
E05.315,ČISTICÍ ZAŘÍZENÍ , , ,0.807630
E05.315.04,ELEKTRICKÝ VYSAVAČ PODLAHOVÝ - internetový obchod, 1,ks,0.807630
E05.319,OSTATNÍ HLAVNÍ (VELKÉ) PŘÍSTROJE PRO DOMÁCNOST, , ,0.149051
E05.319.01,DOMÁCÍ VODÁRNA, 1,ks,0.149051
E05.32,Malé domácí elektrické spotřebiče, , ,1.742962
E05.321,PŘÍSTROJE PRO ZPRACOVÁNÍ POTRAVIN, , ,0.735144
E05.321.02,ELEKTRICKÝ TYČOVÝ MIXÉR, 1,ks,0.245048
E05.321.03,ELEKTRICKÝ TYČOVÝ MIXÉR - internetový obchod, 1,ks,0.490096
E05.322,PŘÍSTROJE PRO PŘÍPRAVU KÁVY NEBO ČAJE A PODOBNÁ ZAŘÍZENÍ, , ,0.750376
E05.322.01,RYCHLOVARNÁ KONVICE, 1,ks,0.250125
E05.322.02,RYCHLOVARNÁ KONVICE - internetový obchod, 1,ks,0.500251
E05.323,ŽEHLIČKY, , ,0.257442
E05.323.02,ELEKTRICKÁ ŽEHLIČKA - internetový obchod, 1,ks,0.257442
E05.33,Opravy domácích přístrojů a spotřebičů, , ,0.814496
E05.330,OPRAVY DOMÁCÍCH PŘÍSTROJŮ A SPOTŘEBIČŮ, , ,0.814496
E05.330.01,SERVISNÍ PROHLÍDKA PLYNOVÉHO KOTLE, 1,prohlídka,0.814496
E05.4,"Skleněné, keramické, stolní a kuchyňské potřeby pro domácnost", , ,3.712644
E05.40,"Skleněné, keramické, stolní a kuchyňské potřeby pro domácnost", , ,3.712644
E05.401,"SKLENĚNÉ, KŘIŠŤÁLOVÉ, KERAMICKÉ A PORCELÁNOVÉ NÁDOBÍ", , ,1.016096
E05.401.01,NÁPOJOVÁ SKLENKA, 1,ks,0.272479
E05.401.02,VÁZA, 1,ks,0.240928
E05.401.03,PORCELÁNOVÝ TALÍŘ, 1,ks,0.176285
E05.401.04,ŠÁLEK S PODŠÁLKEM PORCELÁNOVÝ, 1,soupr.,0.326404
E05.402,"PŘÍBORY, KOVOVÉ A STŘÍBRNÉ NÁDOBÍ", , ,1.267769
E05.402.01,JÍDELNÍ PŘÍBOR, 6,ks,0.180846
E05.402.02,HRNEC KUCHYNSKÝ NEREZOVÝ, 1,ks,1.086923
E05.403,KUCHYŇSKÉ POTŘEBY A ZAŘÍZENÍ NEELEKTRICKÉ, , ,1.428779
E05.403.01,KUCHYŇSKÝ NŮŽ, 1,ks,0.427172
E05.403.02,VAŘEČKA, 1,ks,0.416127
E05.403.03,SMAŽICÍ PÁNEV, 1,ks,0.432857
E05.403.04,VÁHY KUCHYŇSKÉ (DIGITÁLNÍ), 1,ks,0.152623
E05.5,"Nářadí, nástroje a různé potřeby pro dům a zahradu", , ,4.025931
E05.51,Nástroje a nářadí dlouhodobé spotřeby pro dům a zahradu vč.oprav, , ,1.822097
E05.511,NÁSTROJE A NÁŘADÍ DL. SPOTŘEBY PRO DŮM A ZAHRADU S VLAST. POHONEM, , ,1.822097
E05.511.01,MOTOROVÁ PILA, 1,ks,0.298151
E05.511.02,ELEKTRICKÁ RUČNÍ VRTAČKA, 1,ks,0.373218
E05.511.03,ELEKTRICKÁ SEKAČKA NA TRÁVU STRUNOVÁ, 1,ks,1.150728
E05.52,Nástroje a nářadí krátkodobé spotřeby pro dům a zahradu vč. oprav, , ,2.203834
E05.521,NÁSTROJE A NÁŘADÍ KRÁTKODOBÉ SPOTŘEBY BEZ VLASTNÍHO POHONU, , ,0.799410
E05.521.01,ŠROUBOVÁK, 1,ks,0.341547
E05.521.02,HRÁBĚ ŽELEZNÉ S NÁSADOU, 1,ks,0.457863
E05.522,RŮZNÉ DOPLŇKY NÁSTROJŮ A NÁŘADÍ KRÁTKODOBÉ SPOTŘEBY, , ,1.404424
E05.522.01,TUŽKOVÁ BATERIE 1.5V, 1,ks,0.717583
E05.522.02,ŽÁROVKA, 1,ks,0.408662
E05.522.03,SPÍNAČ KOLÉBKOVÝ DOMOVNÍ, 1,ks,0.278179
E05.6,Zboží a služby pro běžnou údržbu domácnosti, , ,11.106513
E05.61,Spotřební zboží pro domácnost, , ,10.220123
E05.611,VÝROBKY PRO ČISTĚNÍ A ÚDRŽBU, , ,8.119688
E05.612,OSTATNÍ DROBNÉ SPOTŘEBNÍ ZBOŽÍ PRO DOMÁCNOST, , ,2.100435
E05.62,Služby domácího personálu a služby pro domácnost, , ,0.886390
E05.621,PLACENÉ SLUŽBY DOMÁCÍHO PERSONÁLU , , ,0.305272
E05.621.01,HLÍDÁNÍ DĚTÍ, 1,hodina,0.305272
E05.622,ÚKLIDOVÉ SLUŽBY, , ,0.581118
E05.622.01,PRANÍ PRÁDLA, 1,dávka,0.241985
E05.622.02,ČIŠTĚNÍ KOBERCŮ, 1,m2,0.339133
E06,ZDRAVÍ, , ,27.886215
E06.1,Léčiva a zdravotnické prostředky, , ,16.890264
E06.11,Léčiva, , ,13.315553
E06.110,LÉČIVA, , ,13.315553
E06.110.01,SUBI LÉKY PŘEDEPSANÉ LÉKAŘEM, , ,5.302153
E06.110.02,SUBI LÉKY BEZ RECEPTU A DALŠÍ LÉČIVA, , ,8.013400
E06.12,Ostatní zdravotnické výrobky, , ,0.347552
E06.121,TĚHOTENSKÉ TESTY A MECHANICKÉ ANTIKONCEPČNÍ PROSTŘEDKY, , ,0.021722
E06.129,OSTATNÍ ZDRAVOTNICKÉ VÝROBKY j.n., , ,0.325830
E06.13,Terapeutické přístroje a vybavení, , ,3.227159
E06.131,DIOPTRICKÉ BRÝLE A KONTAKTNÍ ČOČKY, , ,2.129482
E06.131.01,DIOPTRICKÉ BRÝLE, 1,ks,1.647529
E06.131.03,KONTAKTNÍ ČOČKY MĚKKÉ - internetový obchod, 6,ks,0.481953
E06.139,OSTATNÍ TERAPEUTICKÉ PŘÍSTROJE A VYBAVENÍ, , ,1.097677
E06.2,Ambulantní zdravotní péče, , ,9.182196
E06.21,Ambulantní lékařská péče, , ,2.626034
E06.211,PÉČE VŠEOBECNÝCH LÉKAŘŮ, , ,1.126449
E06.211.01,LÉKAŘSKÁ PROHLÍDKA NA ŽÁDOST PACIENTA, 1,výkon,0.995889
E06.211.02,POPLATEK ZA NÁVŠTEVU POHOTOVOSTI, 1,poplatek,0.130560
E06.212,PÉČE ODBORNÝCH LÉKAŘŮ, , ,1.499585
E06.212.01,LASEROVÁ OPERACE OKA, 1,oko,1.499585
E06.22,Ambulantní stomatologická péče, , ,5.436197
E06.220,AMBULANTNÍ STOMATOLOGICKÁ PÉČE, , ,5.436197
E06.220.01,OŠETŘENÍ ZUBNÍHO KAZU, 1,výkon,1.474308
E06.220.02,KORUNKOVÁ NÁHRADA, 1,ks,2.630021
E06.220.03,DENTÁLNÍ HYGIENA, 1,výkon,1.331868
E06.23,Ambulantní zdravotní péče ostatní, , ,1.119965
E06.239,Ambulantní zdravotní péče jinde neuvedená, , ,1.119965
E06.239.02,PSYCHOTERAPIE, 1,výkon,0.671978
E06.239.03,VÝŽIVOVÝ PORADCE, 1,výkon,0.447987
E06.3,Ústavní zdravotní péče, , ,1.813755
E06.30,Ústavní zdravotní péče, , ,1.813755
E06.300,ÚSTAVNÍ ZDRAVOTNÍ PÉČE, , ,1.813755
E06.300.01,LÁZEŇSKÁ PÉČE PLNĚ HRAZENÁ PACIENTEM, 21,dní,1.813755
E07,DOPRAVA, , ,105.619267
E07.1,"Nákup automobilů,motocyklů a jízdních kol", , ,42.270243
E07.11,Automobily, , ,38.920923
E07.111,NOVÉ AUTOMOBILY, , ,15.263047
E07.111.66,SUBI NOVÉ AUTOMOBILY, , ,15.263047
E07.112,OJETÉ AUTOMOBILY, , ,23.657876
E07.112.30,SUBI OJETÉ AUTOMOBILY, , ,23.657876
E07.12,Motocykly, , ,1.556972
E07.120,MOTOCYKLY, , ,1.556972
E07.120.01,SKÚTR, 1,ks,1.556972
E07.13,Jízdní kola, , ,1.792348
E07.130,JÍZDNÍ KOLA, , ,1.792348
E07.130.01,HORSKÉ KOLO PÁNSKÉ, 1,ks,0.983195
E07.130.02,JÍZDNÍ KOLO TREKINGOVÉ, 1,ks,0.809153
E07.2,Provoz osobních dopravních prostředků, , ,54.119547
E07.21,Náhradní díly a příslušenství pro osobní dopravní prostředky, , ,5.719255
E07.211,PNEUMATIKY, , ,3.263517
E07.211.01,PLÁŠŤ NA JÍZDNÍ KOLO, 1,ks,0.486109
E07.211.02,LETNÍ PNEUMATIKA 205/55 R16 (91) V, 4,ks,0.462901
E07.211.03,LETNÍ PNEUMATIKA 205/55 R16 (91) V - internetový obchod, 4,ks,0.925802
E07.211.04,ZIMNÍ PNEUMATIKA 205/55 R16 (91) H, 4,ks,0.462901
E07.211.05,ZIMNÍ PNEUMATIKA 205/55 R16 (91) H - internetový obchod, 4,ks,0.925804
E07.212,NÁHRADNÍ DÍLY PRO OSOBNÍ DOPRAVNÍ PROSTŘEDKY, , ,1.938912
E07.212.01,BLATNÍK PRO OSOBNÍ AUTOMOBIL, 1,ks,0.707209
E07.212.02,TŘECÍ SEGMENT - BRZDOVÉ DESTIČKY, 4,ks,0.518547
E07.212.03,AUTOBATERIE 12V, 1,ks,0.713156
E07.213,PŘÍSLUŠENSTVÍ PRO OSOBNÍ DOPRAVNÍ PROSTŘEDKY, , ,0.516826
E07.213.01,LEŠTICÍ A KONZERVAČNÍ PROSTŘEDEK, 1,l,0.516826
E07.22,Pohonné hmoty a oleje pro osobní dopravní prostředky, , ,35.444108
E07.221,NAFTA, , ,14.272537
E07.221.01,MOTOROVÁ NAFTA, 1,l,14.272537
E07.222,BENZIN, , ,20.145692
E07.222.01,BENZIN AUTOMOBILOVÝ NATURAL 95 OKTANU, 1,l,19.910019
E07.222.02,BENZIN AUTOMOBILOVÝ SUPER PLUS 98 OKTANU, 1,l,0.235673
E07.223,OSTATNÍ PALIVA PRO OSOBNÍ DOPRAVNÍ PROSTŘEDKY, , ,0.683919
E07.223.01,PLYN LPG, 1,l,0.683919
E07.224,OLEJE, , ,0.341960
E07.224.01,MOTOROVÝ OLEJ, 1,l,0.341960
E07.23,Údržba a opravy osobních dopravních prostředků, , ,7.114474
E07.230,ÚDRŽBA A OPRAVY OSOBNÍCH DOPRAVNÍCH PROSTŘEDKŮ, , ,7.114474
E07.230.03,VÝMĚNA BLATNÍKU U AUTOMOBILU ŠKODA FABIA, 1,oprava,1.034337
E07.230.04,SERVISNÍ PROHLÍDKA AUTOMOBILU ŠKODA FABIA, 1,prohlídka,1.631153
E07.230.05,VÝMĚNA PNEUMATIKY, 1,kolo,0.716591
E07.230.06,VÝMĚNA BRZDOVÝCH DESTIČEK, 1,hodina,2.040154
E07.230.07,MYTÍ AUTOMOBILU, 1,služba,0.060168
E07.230.08,GEOMETRIE KOL, 1,oprava,0.606075
E07.230.09,VÝMĚNA OLEJE, 1,služba,0.815577
E07.230.10,ZÁKLADNÍ SERVIS KOLA, 1,oprava,0.210419
E07.24,Ostatní služby týkající se osobních dopravních prostředků, , ,5.841710
E07.241,"PRONÁJEM GARÁŽÍ, PARKOVACÍCH MÍST A OS. DOPRAVNÍCH PROSTŘEDKŮ", , ,0.344833
E07.241.01,NÁJEMNÉ ZA GARÁŽ, 1,m2,0.344833
E07.242,MÝTNÉ A PARKOVACÍ HODINY, , ,3.260486
E07.242.01,PARKOVNÉ ZA OSOBNÍ AUTOMOBIL, 1,hodina,1.136180
E07.242.02,POPLATEK ZA DÁLNIČNÍ ZNÁMKU, ,roční popl,2.124306
E07.243,"JÍZDY V AUTOŠKOLE,ŘIDIČ.ZK.,LICENCE,KONTROLY TECH.ZPŮSOB.MOT.VOZ.", , ,2.236391
E07.243.01,ŘIDIČSKÝ KURZ PRO OSOBNÍ AUTOMOBIL, 1,kurzovné,0.937237
E07.243.02,POPLATEK ZA TECHNICKOU KONTROLU OSOBNÍHO AUTOMOBILU, 1,poplatek,1.299154
E07.3,Dopravní služby, , ,9.229477
E07.31,Kolejová osobní doprava, , ,2.044133
E07.311,ŽELEZNIČNÍ OSOBNÍ DOPRAVA, , ,2.044133
E07.311.01,SUBI Kolejová osobní doprava, , ,2.044133
E07.32,Silniční osobní doprava, , ,2.431963
E07.321,AUTOBUSOVÁ OSOBNÍ DOPRAVA, , ,2.141492
E07.321.01,JEDNOTLIVÉ JÍZDNÉ V MHD SILNIČNÍ, 1,jízdenka,0.262625
E07.321.02,MĚSÍČNÍ PŘEDPLATNÉ V MHD SILNIČNÍ, ,předplatné,0.092706
E07.321.03,ČTVRTLETNÍ PŘEDPLATNÉ V MHD SILNIČNÍ, ,předplatné,0.061601
E07.321.04,JEDNOTLIVÉ JÍZDNÉ PRO DŮCHODCE V MHD SILNIČNÍ, 1,jízdenka,0.028085
E07.321.05,MĚSÍČNÍ PŘEDPLATNÉ PRO DŮCHODCE V MHD SILNIČNÍ, ,předplatné,0.027392
E07.321.06,MĚSÍČNÍ ŽÁKOVSKÉ PŘEDPLATNÉ V MHD SILNIČNÍ, ,předplatné,0.050923
E07.321.07,OBYČEJNÉ JÍZDNÉ V AUTOBUS. DOPRAVĚ (10 KM), 1,jízdenka,0.198131
E07.321.08,OBYČEJNÉ JÍZDNÉ V AUTOBUS. DOPRAVĚ (25 KM), 1,jízdenka,0.203345
E07.321.09,OBYČEJNÉ JÍZDNÉ V AUTOBUS. DOPRAVĚ (50 KM), 1,jízdenka,0.231412
E07.321.10,OBYČEJNÉ JÍZDNÉ V AUTOBUS. DOPRAVĚ (100 KM), 1,jízdenka,0.232519
E07.321.11,MĚSÍČNÍ PŘEDPLATNÉ V AUTOBUSOVÉ DOPRAVĚ (14-17KM), 1,předplatné,0.130450
E07.321.12,TÝDENNÍ PŘEDPLATNÉ V AUTOBUSOVÉ DOPRAVĚ (30 KM), 1,předplatné,0.035432
E07.321.15,SUBI ZLEVNĚNÉ JÍZDNÉ V AUTOBUSOVÉ DOPRAVĚ, , ,0.356145
E07.321.16,SUBI JÍZDNÉ V AUTOBUSOVÉ DOPRAVĚ, , ,0.230726
E07.322,TAXISLUŽBA A PRONÁJEM OSOBNÍCH AUTOMOBILŮ S ŘIDIČEM, , ,0.290471
E07.322.01,AUTOTAXI OSOBNÍ, 1,jízda,0.290471
E07.33,Letecká osobní doprava, , ,1.309648
E07.332,MEZINÁRODNÍ LETECKÁ OSOBNÍ DOPRAVA, , ,1.309648
E07.332.01,SUBI LETECKÁ DOPRAVA, , ,1.309648
E07.35,Kombinovaná osobní doprava, , ,2.518670
E07.350,KOMBINOVANÁ OSOBNÍ DOPRAVA, , ,2.518670
E07.350.01,JEDNOTLIVÉ JÍZDNÉ V MHD KOMBINOVANÉ, 1,jízdenka,0.430082
E07.350.02,MĚSÍČNÍ PŘEDPLATNÉ V MHD KOMBINOVANÉ, 1,předplatné,0.569920
E07.350.03,ČTVRTLETNÍ PŘEDPLATNÉ V MHD KOMBINOVANÉ, 1,předplatné,0.284212
E07.350.04,ROČNÍ PŘEDPLATNÉ V MHD KOMBINOVANÉ, ,předplatné,0.562484
E07.350.05,JEDNOTLIVÉ JÍZDNÉ PRO DŮCHODCE V MHD KOMBINOVANÉ, 1,jízdenka,0.046206
E07.350.06,MĚSÍČNÍ ŽÁKOVSKÉ PŘEDPLATNÉ V MHD KOMBINOVANÉ, 1,předplatné,0.372491
E07.350.07,MĚSÍČNÍ PŘEDPLATNÉ PRO DŮCHODCE V MHD KOMBINOVANÉ, 1,předplatné,0.253275
E07.36,Ostatní placené služby v dopravě, , ,0.925063
E07.362,STĚHOVACÍ A SKLADOVACÍ SLUŽBY, , ,0.925063
E07.362.01,AUTOTAXI NÁKLADNÍ, 1,jízda,0.925063
E08,POŠTY A TELEKOMUNIKACE, , ,29.369095
E08.1,Poštovní služby, , ,0.912886
E08.10,Poštovní služby, , ,0.912886
E08.101,LISTOVNÍ SLUŽBY, , ,0.475872
E08.101.02,SUBI LISTOVNÍ SLUŽBY, , ,0.475872
E08.109,OSTATNÍ POŠTOVNÍ SLUŽBY, , ,0.437014
E08.109.03,SUBI OSTATNÍ POŠTOVNÍ SLUŽBY, , ,0.437014
E08.2,Telefonní a faxová zařízení, , ,2.543240
E08.20,Telefonní a faxová zařízení, , ,2.543240
E08.202,MOBILNÍ TELEFONNÍ ZAŘÍZENÍ, , ,2.543240
E08.202.01,MOBILNÍ TELEFON - PŘÍSTROJ, 1,ks,0.839269
E08.202.02,MOBILNÍ TELEFON - PŘÍSTROJ - internetový obchod, 1,ks,1.703971
E08.3,Telefonní a faxové služby, , ,25.912969
E08.30,Telefonní a faxové služby, , ,25.912969
E08.301,TELEFONNÍ SLUŽBY PEVNÉHO PŘIPOJENÍ, , ,0.426849
E08.301.01,SUBI TELEFONNÍ SLUŽBY PEVNÉHO PŘIPOJENÍ, , ,0.426849
E08.302,MOBILNÍ TELEFONNÍ SLUŽBY, , ,19.116767
E08.302.01,SUBI MOBILNÍ TELEFONNÍ SLUŽBY, , ,19.116767
E08.303,SLUŽBY INTERNETOVÉHO PŘIPOJENÍ, , ,6.369353
E08.303.01,SUBI SLUŽBY INTERNETOVÉHO PŘIPOJENÍ, , ,6.369353
E09,REKREACE A KULTURA, , ,78.240267
E09.1,"Zaříz. a vyb. audiovizuální, fotografická a pro zpr.dat vč.oprav", , ,10.913333
E09.11,"Zařízení pro příjem, záznam a reprodukci zvuku a obrazu", , ,2.278534
E09.112,"ZAŘÍZENÍ PRO PŘÍJEM, ZÁZNAM A REPRODUKCI ZVUKU A OBRAZU", , ,1.974976
E09.112.02,TELEVIZNÍ PŘIJÍMAČ BAREVNÝ STOLNÍ S LCD OBRAZOVKOU, 1,ks,0.651742
E09.112.04,TELEVIZNÍ PŘIJÍMAČ BAREVNÝ S LCD OBRAZ. - internetový obchod, 1,ks,1.323234
E09.113,"PŘENOSNÁ ZAŘÍZENÍ PRO PŘÍJEM, ZÁZNAM A REPRODUKCI ZVUKU A OBRAZU", , ,0.303558
E09.113.01,RADIOMAGNETOFON PŘENOSNÝ S CD PŘEHRÁVAČEM, 1,ks,0.150838
E09.113.03,MP3/MP4 PŘEHRÁVAČ - internetový obchod, 1,ks,0.152720
E09.12,Fotografická a kinematografická zařízení a optické přístroje, , ,0.498348
E09.121,FOTOAPARÁTY, , ,0.498348
E09.121.01,FOTOAPARÁT DIGITÁLNÍ, 1,ks,0.164455
E09.121.02,FOTOAPARÁT DIGITÁLNÍ - internetový obchod, 1,ks,0.333893
E09.13,Zařízení pro zpracování dat, , ,7.608284
E09.131,OSOBNÍ POČÍTAČE, , ,5.582960
E09.131.01,NOTEBOOK, 1,ks,1.156170
E09.131.03,NOTEBOOK - internetový obchod, 1,ks,2.312342
E09.131.04,TABLET - internetový obchod, 1,ks,2.114448
E09.132,PŘÍSLUŠENSTVÍ PRO ZAŘÍZENÍ PRO ZPRACOVÁNÍ DAT, , ,2.025324
E09.132.01,MULTIFUNKČNÍ TISKÁRNA, 1,ks,0.249034
E09.132.02,MONITOR, 1,ks,0.426071
E09.132.03,MULTIFUNKČNÍ TISKÁRNA - internetový obchod, 1,ks,0.498068
E09.132.04,MONITOR - internetový obchod, 1,ks,0.852151
E09.14,Nosná média pro záznam obrazu a zvuku, , ,0.388764
E09.141,NOSNÁ MÉDIA PRO ZÁZNAM OBRAZU A ZVUKU NAHRANÁ, , ,0.176149
E09.141.01,CD NAHRANÉ, 1,ks,0.096675
E09.141.02,DVD NAHRANÉ, 1,ks,0.079474
E09.149,OSTATNÍ NOSNÁ MÉDIA PRO ZÁZNAM OBRAZU A ZVUKU, , ,0.212615
E09.149.01,FLASH DISK, 1,ks,0.048543
E09.149.02,PAMĚŤOVÁ KARTA - internetový obchod, 1,ks,0.066985
E09.149.03,FLASH DISK - internetový obchod, 1,ks,0.097087
E09.15,Opravy zařízení audio-video a zařízení pro zprac.fotografií a dat, , ,0.139403
E09.150,OPRAVY ZAŘÍZENÍ AUDIO-VIDEO A ZAŘÍZENÍ PRO ZPRAC.FOTOGRAFIÍ A DAT, , ,0.139403
E09.150.01,PC SERVIS - ZÁLOHOVÁNÍ DAT, 1,hodina,0.139403
