ECOICOP,NAZEV,MĚRNÁ JEDNOTKA,,VÁHA v ‰
E12.121.06,ELEKTRICKÝ ZUBNÍ KARTÁČEK - internetový obchod, 1,ks,0.080580
E12.13,"Ostatní přístroje, předměty a výrobky pro osobní péči", , ,18.391826
E12.131,RUČNÍ PŘÍSTROJE A VÝROBKY PRO OSOBNÍ PÉČI, , ,1.492522
E12.132,"VÝROBKY PRO OS.HYGIENU A WELLNESS, ESOTER. A KOSMET.VÝR. A PŘÍPR.", , ,16.899304
E12.3,Osobní potřeby a doplňky jinde neuvedené, , ,6.312325
E12.31,"Klenoty, hodiny a hodinky", , ,2.732858
E12.311,KLENOTY, , ,1.583424
E12.311.01,SNUBNÍ PRSTEN ZLATÝ, 1,ks,1.583424
E12.312,HODINY A HODINKY, , ,0.779558
E12.312.01,DÁMSKÉ NÁRAMKOVÉ HODINKY (QUARTZ), 1,ks,0.779558
E12.313,"OPRAVY KLENOTŮ, HODIN A HODINEK", , ,0.369876
E12.313.01,VÝMĚNA BATERIE DO DÁMSKÝCH NÁRAMKOVÝCH HODINEK (VČETNĚ BATERIE), 1,úkon,0.369876
E12.32,Ostatní osobní potřeby a doplňky, , ,3.579467
E12.321,CESTOVNÍ POTŘEBY, , ,1.622328
E12.321.01,DÁMSKÁ KABELKA KOŽENÁ, 1,ks,1.622328
E12.322,VÝROBKY PRO DĚTI, , ,0.252631
E12.322.03,DĚTSKÝ KOČÁREK - internetový obchod, 1,ks,0.179367
E12.322.04,DĚTSKÁ AUTOSEDAČKA - internetový obchod, 1,ks,0.073264
E12.329,OSTATNÍ OSOBNÍ POTŘEBY A DOPLŇKY J. N., , ,1.704508
E12.329.01,DÁMSKÝ DEŠTNÍK SKLÁDACÍ, 1,ks,1.310554
E12.329.02,POMNÍK Z PŘÍRODNÍHO KAMENE, 1,ks,0.393954
E12.4,Sociální péče, , ,8.096585
E12.40,Sociální péče, , ,8.096585
E12.401,DĚTSKÉ JESLE, , ,0.966756
E12.401.01,ÚHRADA ZA DĚTSKÉ JESLE, ,měsíčně,0.966756
E12.402,DOMOVY DŮCHODCŮ A DOMOVY PRO OSOBY S POSTIŽENÍM, , ,2.537735
E12.402.01,UBYTOVÁNÍ V DOMOVĚ DŮCHODCŮ, ,měsíčně,2.537735
E12.403,SLUŽBY STARÝM A INVALIDNÍM OSOBÁM V JEJICH DOMOVECH, , ,4.592094
E12.403.01,DONÁŠKA OBĚDŮ, 1,úkon,4.592094
E12.5,Pojištění, , ,9.278406
E12.52,Pojištění související s bydlením, , ,2.875199
E12.520,POJIŠTĚNÍ SOUVISEJÍCÍ S BYDLENÍM, , ,2.875199
E12.520.05,SUBI POJIŠTĚNÍ DOMÁCNOSTI, , ,2.875199
E12.53,Pojištění související se zdravím, , ,1.988711
E12.532,ÚRAZOVÉ A OSTATNÍ OSOBNÍ POJIŠTĚNÍ, , ,1.988711
E12.532.03,SUBI ÚRAZOVÉ A OSTATNÍ OSOBNÍ POJIŠTĚNÍ, , ,1.988711
E12.54,Pojištění související s dopravou, , ,4.414496
E12.541,POJIŠTĚNÍ MOTOROVÝCH VOZIDEL, , ,4.414496
E12.541.03,SUBI POVINNÉ RUČENÍ MOTOROVÝCH VOZIDEL , , ,3.231358
E12.541.05,SUBI HAVARIJNÍ POJIŠTĚNÍ MOTOROVÝCH VOZIDEL, , ,1.183138
E12.6,Finanční služby jinde neuvedené, , ,8.251207
E12.62,Finanční služby jinde neuvedené, , ,8.251207
E12.621,BANKOVNÍ A PODOBNÉ POPLATKY, , ,8.251207
E12.621.01,SUBI FINANČNÍ SLUŽBY, , ,8.251207
E12.7,Ostatní služby jinde neuvedené, , ,5.176933
E12.70,Ostatní služby jinde neuvedené, , ,5.176933
E12.701,ADMINISTRATIVNÍ POPLATKY, , ,0.527151
E12.701.02,VYDÁNÍ CESTOVNÍHO PASU, 1,poplatek,0.387266
E12.701.04,OVĚŘENÍ PODPISU, 1,poplatek,0.139885
E12.702,PRÁVNÍ SLUŽBY A ÚČETNICTVÍ, , ,1.250222
E12.702.01,POPLATEK PŘI PODÁNÍ NÁVRHU NA ROZVOD MANŽELSTVÍ, 1,poplatek,0.118624
E12.702.02,SEPSÁNÍ ZÁVĚTI, 1,poplatek,1.131598
E12.703,POHŘEBNÍ SLUŽBY, , ,2.883537
E12.703.01,KREMACE, 1,poplatek,2.883537
E12.704,OSTATNÍ POPLATKY A SLUŽBY, , ,0.516023
E12.704.02,POPLATEK ZE PSA, 1,poplatek,0.516023
